timestamp,speed,rpm,engine_load,coolant_temp,timing_advance,intake_temp,throttle,fuel_level,latitude,longitude,accel_x,accel_y,accel_z,driver_behavior,teda_flag,teda_inference_time,fuel_type,fuel_type_prob,fuel_type_inference_time,mmcloud_inference_time,eco,tipoVia,tipoVia_prob,city_highway_inference_time,instant_fuel_consumption,distancia,consumo_total,consumo_medio,notaImetro,tempAmbiente,radar_area,temp_rasp
2025-07-02T17:46:13.559671,0.0,961.0,22.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5240281820297241,5.716453075408936,7.2430739402771,cautious,False,0.0271110000085172,gasolina,[0. 1.],98.5299880000241,0.0001479999980347,True,Cidade,[0.81 0.19],616.3329820000172,3.0211857,0.0,3.0211857,3.0211857,A,28.5,105.71,57.6
2025-07-02T17:46:17.027402,0.0,961.0,22.0,63.0,0.0,0.0,17.0,69.8,-5.843196,-35.1975245,0.0717846825718879,5.950950145721436,8.315058708190918,cautious,False,0.1135369999758495,gasolina,[0. 1.],50.838050999999496,0.000166999996054,True,Cidade,[0.84 0.16],168.1044780000036,3.0211857,0.0,3.0211857,1.51059285,A,28.5,292.71,57.1
2025-07-02T17:46:20.474007,0.0,961.0,22.0,63.0,-10.5,39.0,17.0,69.8,-5.843196,-35.1975245,0.7489534616470337,5.321637630462647,7.800601959228516,cautious,False,0.0932030000058148,gasolina,[0.01 0.99],43.98112300000889,0.0001479999980347,True,Cidade,[0.96 0.04],172.88108300002136,64.38792625388662,0.0,64.38792625388662,21.46264208462887,A,28.5,292.71,58.7
2025-07-02T17:46:24.492771,0.0,961.0,22.0,63.0,-10.5,39.0,17.0,69.8,-5.843196,-35.1975245,0.4187439680099487,5.682953834533691,8.525627136230469,cautious,False,0.2827200000012908,gasolina,[0.01 0.99],167.38916700001027,0.0001299999894399,True,Cidade,[0.93 0.07],458.02015600000345,64.38792625388662,0.0,64.38792625388662,16.096981563471655,A,28.5,292.71,65.3
2025-07-02T17:46:27.898848,0.0,993.0,17.0,64.0,-10.5,39.0,17.0,69.8,-5.843196,-35.1975245,0.9619147181510924,5.615954875946045,7.267002582550049,cautious,False,0.0987960000031762,gasolina,[0.01 0.99],44.8251560000017,0.0001299999894399,True,Cidade,[1. 0.],160.08157600001027,62.3129880463092,0.0,62.3129880463092,12.46259760926184,A,28.5,228.905,60.4
2025-07-02T17:46:31.317074,0.0,993.0,17.0,64.0,-10.5,39.0,16.0,69.8,-5.843196,-35.1975245,0.698704183101654,5.254638671875,8.506484031677246,cautious,False,0.1977949999911743,gasolina,[0.01 0.99],44.729951999983086,0.0001479999980347,True,Cidade,[1. 0.],163.75457499998447,62.3129880463092,0.0,62.3129880463092,10.3854980077182,A,28.5,220.405,60.4
2025-07-02T17:46:34.923924,0.0,993.0,17.0,64.0,-13.0,39.0,16.0,69.8,-5.8431958,-35.1975247,0.8757730722427368,6.376872539520264,7.523034572601318,cautious,False,0.2231099999789876,gasolina,[0.01 0.99],56.73074200001338,0.000166999996054,True,Cidade,[1. 0.],172.55015800000706,76.52472216213413,0.0,76.52472216213413,10.93210316601916,A,28.5,220.405,63.1
2025-07-02T17:46:38.322568,0.0,993.0,17.0,64.0,-13.0,39.0,16.0,69.8,-5.8431958,-35.1975247,3.2542388439178467,1.4069796800613403,12.459427833557127,cautious,False,0.1747769999838055,gasolina,[0.01 0.99],42.17105899999751,0.0002230000006875,True,Cidade,[0.99 0.01],167.47411099999,76.52472216213413,0.0,76.52472216213413,9.565590270266766,A,28.5,220.405,60.4
2025-07-02T17:46:41.727730,6.0,1327.0,39.0,64.0,-13.0,39.0,16.0,69.8,-5.8431958,-35.1975247,-3.919443607330322,-7.439285755157471,11.241480827331545,cautious,True,0.1101659999847015,gasolina,[0.03 0.97],48.11556499998915,0.0001299999894399,True,Cidade,[0.8 0.2],170.40161400001352,2134.929467929132,0.0016666666666666,2134.929467929132,237.21438532545912,A,28.5,658.575,60.9
2025-07-02T17:46:45.547439,6.0,1327.0,39.0,65.0,-13.0,39.0,22.0,69.8,-5.8431958,-35.1975247,-2.048256158828736,-2.155933141708374,10.96869945526123,cautious,True,0.4046650000191221,gasolina,[0.02 0.98],205.43609899999635,0.0001299999894399,True,Cidade,[0.76 0.24],198.43215399998823,2134.929467929132,0.0016666666666666,2134.929467929132,213.4929467929132,A,28.5,793.575,63.7
