timestamp,speed,rpm,engine_load,coolant_temp,timing_advance,intake_temp,throttle,fuel_level,latitude,longitude,accel_x,accel_y,accel_z,driver_behavior,teda_flag,teda_inference_time,fuel_type,fuel_type_prob,fuel_type_inference_time,mmcloud_inference_time,eco,tipoVia,tipoVia_prob,city_highway_inference_time,instant_fuel_consumption,distancia,consumo_total,consumo_medio,notaImetro,tempAmbiente,radar_area,temp_rasp
2025-07-02T20:33:34.909358,0.0,958.0,45.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.043270707130432,1.3423734903335571,9.035298347473145,normal,False,0.0198329998966073,gasolina,[0.01 0.99],82.45073999933084,0.0001480002538301,False,Cidade,[0.7 0.3],140.66916400042828,3.0211857,0.0,3.0211857,3.0211857,A,28.5,215.55,60.9
2025-07-02T20:33:38.302441,0.0,958.0,45.0,79.0,0.0,0.0,16.0,51.76,0.0,0.0,1.6199408769607544,-4.084548473358154,8.286344528198242,normal,False,0.1085179992514895,gasolina,[0. 1.],45.011379999778,0.0001480002538301,False,Rodovia,[0.4 0.6],144.18167500116397,89.91777372732838,0.0,89.91777372732838,44.95888686366419,A,28.5,575.55,61.5
2025-07-02T20:33:41.748943,0.0,958.0,45.0,79.0,-6.5,49.0,16.0,51.76,0.0,0.0,0.1890329867601394,-1.337587833404541,9.509077072143556,normal,False,0.105406999864499,etanol,[1. 0.],50.109109999539214,0.0001850003172876,False,Cidade,[0.5 0.5],156.89681299954827,127.87595046668336,0.0,127.87595046668336,42.62531682222778,A,28.5,575.55,59.8
2025-07-02T20:33:45.852375,0.0,958.0,45.0,79.0,-6.5,49.0,16.0,51.76,-5.8432131,-35.1976338,0.2273181527853012,-1.383051514625549,9.949356079101562,normal,False,0.2172959993913537,etanol,[1. 0.],198.964719000287,0.0001480002538301,False,Rodovia,[0.41 0.59],503.6909400005243,127.87595046668336,0.0,127.87595046668336,31.968987616670837,A,28.5,575.55,68.6
2025-07-02T20:33:49.200907,0.0,951.0,44.0,80.0,-6.5,49.0,16.0,51.76,-5.8432131,-35.1976338,0.131605252623558,-1.308874011039734,9.475577354431152,cautious,False,0.2987959996971767,etanol,[1. 0.],44.07234499922197,0.0001289990905206,True,Cidade,[0.66 0.34],146.30480000050738,128.81720351954016,0.0,128.81720351954016,25.76344070390803,A,28.5,561.22,63.7
2025-07-02T20:33:52.661470,0.0,951.0,44.0,80.0,-6.5,49.0,16.0,51.76,-5.8432131,-35.1976338,0.1363908946514129,-1.184447169303894,9.578469276428224,cautious,False,0.1393700003973208,etanol,[1. 0.],60.72995599970454,0.0001670014171395,True,Cidade,[0.66 0.34],162.74378100024478,128.81720351954016,0.0,128.81720351954016,21.46953391992336,A,28.5,561.22,60.4
2025-07-02T20:33:56.306799,0.0,951.0,44.0,80.0,-7.0,49.0,16.0,51.76,-5.8432131,-35.1976338,0.1004985496401786,-1.0456634759902954,9.463613510131836,cautious,False,0.1017589984257938,etanol,[1. 0.],43.858809000084875,0.0001299995346926,True,Cidade,[0.67 0.33],149.2835150002065,128.81720351954016,0.0,128.81720351954016,18.402457645648592,A,28.5,561.22,65.3
2025-07-02T20:33:59.739686,0.0,951.0,44.0,80.0,-7.0,49.0,16.0,51.76,-5.8432131,-35.1976338,0.0837487950921058,-1.2993026971817017,9.521040916442873,cautious,False,0.1100739991670707,etanol,[1. 0.],46.149803998559946,0.0002039996616076,True,Cidade,[0.67 0.33],149.5952560017031,128.81720351954016,0.0,128.81720351954016,16.10215043994252,A,28.5,561.22,63.7
2025-07-02T20:34:03.135189,0.0,950.0,45.0,80.0,-7.0,49.0,16.0,51.76,-5.8432127,-35.197634,0.2584248483181,-1.318445324897766,9.722038269042969,cautious,False,0.1549620010337093,etanol,[1. 0.],51.055772999461624,0.0001480002538301,True,Rodovia,[0.27 0.73],166.086200000791,128.9528005758765,0.0,128.9528005758765,14.328088952875166,A,28.5,573.75,64.2
2025-07-02T20:34:06.850952,0.0,950.0,45.0,80.0,-7.0,49.0,16.0,51.76,-5.8432127,-35.197634,0.2153540402650833,-1.2921242713928225,9.62393283843994,cautious,False,0.1034630004141945,etanol,[1. 0.],103.15245300080278,0.0001110001903725,True,Rodovia,[0.38 0.62],205.6711289988016,128.9528005758765,0.0,128.9528005758765,12.89528005758765,A,28.5,573.75,68.6
