,data,hora,rodovia,km,municipio,tipo,gravidade,latitude,longitude
14834,2024-01-12,13:35:00,101.0,85,NATAL,Queda de ocupante de veículo,Com Vítimas Feridas,-5.777664,-35.249371
14846,2024-01-12,13:35:00,101.0,85,NATAL,Tombamento,Com Vítimas Feridas,-5.777664,-35.249371
14858,2024-01-12,13:35:00,101.0,85,NATAL,Engavetamento,Com Vítimas Feridas,-5.777664,-35.249371
14870,2024-01-12,15:20:00,405.0,1,MOSSORO,Queda de ocupante de veículo,Com Vítimas Feridas,-5.19170196,-37.361471
14873,2024-01-12,15:20:00,405.0,1,MOSSORO,Colisão traseira,Com Vítimas Feridas,-5.19170196,-37.361471
14876,2024-01-12,17:27:00,101.0,129,NISIA FLORESTA,Queda de ocupante de veículo,Com Vítimas Feridas,-6.112119,-35.233627
14878,2024-01-12,17:27:00,101.0,129,NISIA FLORESTA,Tombamento,Com Vítimas Feridas,-6.112119,-35.233627
14880,2024-01-12,17:27:00,101.0,129,NISIA FLORESTA,Colisão traseira,Com Vítimas Feridas,-6.112119,-35.233627
14882,2024-01-13,16:05:00,226.0,4,NATAL,Queda de ocupante de veículo,Com Vítimas Feridas,-5.81613562,-35.24908846
14885,2024-01-13,16:05:00,226.0,4,NATAL,Tombamento,Com Vítimas Feridas,-5.81613562,-35.24908846
14888,2024-01-13,16:05:00,226.0,4,NATAL,Colisão transversal,Com Vítimas Feridas,-5.81613562,-35.24908846
14891,2024-01-13,20:00:00,304.0,24,MOSSORO,Saída de leito carroçável,Com Vítimas Feridas,-5.06488233,-37.33287055
14893,2024-01-13,20:00:00,304.0,24,MOSSORO,Queda de ocupante de veículo,Com Vítimas Feridas,-5.06488233,-37.33287055
14895,2024-01-13,20:00:00,304.0,24,MOSSORO,Tombamento,Com Vítimas Feridas,-5.06488233,-37.33287055
14897,2024-01-14,16:15:00,101.0,103,PARNAMIRIM,Colisão lateral mesmo sentido,Com Vítimas Feridas,-5.89034022,-35.24894996
